id	title	duration_seconds
8G-ZQU6oaKg	This EBAY Mega Order kept "CHA CHINGING"	2112.0
8IuFLBAsf9c	Why are we still buying EBAY inventory? Don't we have too much?	2134.0
8MTa0mzufhA	Tomtom XL GPS eBay Demo	144.0
8Oc6WFRFUO0	22 ORDINARY THINGS that SELL ON EBAY	1886.0
8RTQcJ4UdCs	Two Amazing Plush Scores at Two Different Garage Sales!	2591.0
8SipBy86pLI	No comps found but knew this was perfect for EBAY	1253.0
8XEjPB1V8CU	Join us for a $1000 EBAY Inventory Sourcing Trip	2278.0
8aQ7H2XX-yo	Would you get this Toxic Crusaders toy graded or sell it raw?	1752.0
8brLNISn-Ok	Only $20 for HUNDREDS of these 40 Year Old Collectibles	2762.0
8fmd5kbzl1g	We let ourself GET HOSED on this Facebook Marketplace Buy	1736.0
8h7kO-giw1k	Inflation so bad we sold a 5 Dollar Bill for $10!	1683.0
8lWyFEbUGKg	Selling online can be an Emotional Rollercoaster (at least for us)	1738.0
8qgxKpXK_0c	DRAMA AT THE GARAGE SALE - CAUGHT ON CAMERA	499.0
8rl-OiGwWUM	Taking Inventory of our EBAY Store is worth the headache	1316.0
8utxO30xNz8	This is ONE of Our Strategies for Making Money on EBAY	1922.0
8v0nHhNGn0E	Sent 150 Offers on EBAY - DID IT WORK?	1751.0
91Gk7Zi-7fk	Bought her a surprise at the Garage Sale. She didn't like it.	1620.0
98C4wf8V5Gs	She's EXCITED about this $400 EBAY Sale (she doesn't have to pack it)	1062.0
98_Ur1Md5bY	Canon AF35 ML camera eBay demo	348.0
98eEYkHY0b4	We are willing to sell ALMOST ANYTHING on EBAY	2187.0
9A5qix_fizI	Our EBAY inventory storage is SUPERIOR to bins - Change my mind	1783.0
9EGwIJ5EfCI	Our Favorite Way to Find Items For EBAY	1628.0
9G-pOfrqhS0	Come take an EBAY TEST DRIVE with me!	1050.0
9Hked4Ogtpk	When EBAY Inventory has worn out it's welcome	1402.0
9Lwhwiy1Idc	eBAY WELCHER had the nerve to tell me THIS	2111.0
9Q-nQh1_Mj0	We're leaving for DC and our EBAY Sales are BLOWING UP	1869.0
9RovujaCBhY	30 Dollars for a PAPERWEIGHT at an Estate Sale - Are we CRAZY?	2673.0
9SU44TMKf8E	Sorry EBAY, This is Going to our Local Auction House Instead	2055.0
9fjIYmfyG3s	HOW MUCH IS IT WORTH? Comics Cards and Collectibles	1318.0
9iXorObrYbE	Should you start your EBAY auction out at a penny?	1707.0
9l2a-_8HPb4	This EBAY return just keep getting weirder	1327.0
9lcWqp9Nhd0	These were a GOLDMINE on EBAY for us	2109.0
9lnnVL20GBA	EBAY scared us into trying something new	1926.0
9m7HcokCwxs	Gave up on this one - eBay FAIL	1029.0
9mikupzoYMw	She WON'T STOP buying EBAY Inventory!	2588.0
9nCIpwQUe3w	We're Willing To Do What Other EBAY Sellers Won't	1761.0
9qve--iaFnA	This EBAY Feature is a GAME CHANGER for resellers	1687.0
9zndoyu_p94	GARAGE SALE WITH US	732.0
A4Y-1zFlx9M	When you need more than PHOTOS on EBAY	708.0
A5qnzOXWryk	Is selling on EBAY BORING?	1909.0
AB_oxf3g4ao	Our EBAY store NEEDED THIS DESPERATELY	1627.0
AFDLB5IJMkg	Garage Sale season is back! (and we hit a very good one)	3490.0
AJcXpnyGC-A	What do people buy on eBay?	1024.0
AJhzFZin0PY	This feels like the dumbest way possible to list clothing	1430.0
AS2IR12O1aI	We've been waiting for EBAY to fix this for YEARS	1786.0
AZY17DJZjVQ	EBAY - Line em up, ship em out!	920.0
AbBwZVKtrQw	Sold 9 things on EBAY, but now I have to pack them	1392.0
AdvN1FsRg3o	You can't do THAT on EBAY	2283.0
AgyWJxpQjUk	BUYING IT ALL @ GARAGE SALES	1034.0
AhXCONslHro	Is it really worth listing this on EBAY?	1758.0
Ah_LFp7wbIA	This kind of inventory makes EBAY seem EASY	1982.0
AiLmdJoFKiE	This awesome EBAY sale came with a CATCH	3266.0
Aii6If5S5Ds	Why do we keep buying SO MUCH EBAY Inventory?	2419.0
AlFSmWKAy9Q	ONE Garage Sale, 558 items. ARE WE CRAZY?	1936.0
Amx1zTCafeA	This type of eBay sale STILL makes me NERVOUS	2571.0
AnWhPkRmfLA	Vintage Starlog Sci Fi Magazine Lot	448.0
AqW-inWcYIw	Why you should get an EBAY store? (or not)	2083.0
AubUmwH6rVo	10 Things We Would Change About EBAY	2001.0
AxUB0zX87cE	Our EBAY Christmas item plan is paying off	2807.0
Ay9Lhjbewkk	How to Pack and Ship EBAY Orders #8 - Packing a Statue	5141.0
AyVRzSo8o8o	How to use Gemini comic mailers to quickly ship comic books and other books	673.0
Az9RmvNWpKQ	She's starting to get the hang of this	1051.0
B4ih6Lyy3u8	Radio Shack Pro 95 handheld portable scanner - eBay demo	214.0
B9PxNheI57s	She found IT at the Garage Sale	1004.0
BEKFG6XKLH4	Motorola HT750 - Lot of 3 Radios - Demo for eBay	198.0
BKgjVtFC2GQ	NOTHING beats GARAGE SALE Profit Margins	2594.0
BLsVGrUardM	This EBAY BUG is driving me BONKERS	1644.0
BLztZomJRyU	Nintendo 3DS, carry case and 2 games- eBay Demo	366.0
BNl3JPWA-EA	We spent over $400 on THESE at the Estate Sale	1151.0
BRVhzj-Tj0M	36 Things we sold for PROFIT on EBAY while on VACATION	1780.0
BWhGJluo9AM	I'm selling this stuff on EBAY and giving mugs away	714.0
Bb10PXdB-UQ	Sometime we Overthink EBAY - JUST LIST IT!	1869.0
BdnoKaRNerU	Don't Fall For This Clever EBAY SCAM Like I Did	1298.0
Bg84xC8Sczs	Would you pay $25 for this at a Garage Sale?	2051.0
Bh9iyB0x2ck	FB Marketplace $20 Buy - How much will we make?	1427.0
Blhxu6LbneM	31 Things You Can Sell on EBAY for PROFIT	2952.0
BolMb2IK1RA	The new USPS rates on EBAY Caught me off-guard!	1633.0
BqOo-vLI76A	Most EBAY sellers walk right by this EASY MONEY (SOLD SAME DAY)	1812.0
